Timestamp,Name your favorite thing to do in the snow.,Name another name for Santa.,Name a strange place to see someone dressed up as Santa.,It’s not Christmas until I watch:,Name one of Santa’s reindeer that you would like to spend time with.,Name something Santa would like for Christmas.,Name the worst present to open on Christmas day.,Name Santa’s favorite cookie.,Name Santa’s second favorite snack (after cookies and milk),Name one of Santa’s reindeer that might be called the class clown.,Name a part of Santa’s suit.,Name a word that has the word “snow” in it.,Name someone you would buy a Christmas gift for.,When do you start decorating for Christmas?,Name a song Santa might use for his ringtone.,Name a type of music Santa might listen to on Christmas night while he delivers gifts.,Name an image you might find on Christmas wrapping paper.,Name a gift from “the twelve days of Christmas.”,Name something you need for wrapping gifts.,Name something Santa might do to disguise himself.,Name the most difficult present to wrap.,Name a popular Christmas Eve tradition.,Name something on every mom’s Christmas list.,Name something you might start doing on December 1?,Name a job that might require someone to work on Christmas day.,Name a way to greet someone at Christmas.,Name something you might smell at Christmas.,How many weeks before Christmas should you send out your Christmas cards?,What is your favorite thing to do on Christmas day?,Name a place that might be open on Christmas day.,Name something that should be at every Christmas party.,Name a piece of the nativity set.,Name something you can find at the North Pole.,Name someone Santa might invite to his birthday party.,"After delivering presents on Christmas, Santa probably:",Name the hardest person to buy a Christmas present for.,Name something Santa might brag about.,Name something you might decorate at Christmas.,Name something Mrs. Claus might leave the North Pole to escape from.,Name someone who was at the first Christmas in Bethlehem.,Name a song a group of carolers might sing.,Name a popular Christmas dessert.,Name a Christmas story parents might read to their kids.,Name something that is red and white.,Name some activities you might do if you ever went on a date with Santa.,"If Santa drove his sleigh on the freeway, name something he might be pulled over for.",Name something you might leave out on Christmas Eve.,Santa wouldn’t be able to work next year if he found he was allergic to:,"If Santa was back in the dating scene, name something he would need to update.",Name something people complain about at Christmas.,Name something people do the day after Christmas.,Name a holiday song you are tired of by Christmas.,We all know the Grinch stole Christmas. Name another holiday he might want to steal.,Name something you put on the Christmas tree.,Name something Mrs. Claus might do while Santa is delivering gifts.,Name something to put in your hot chocolate.,Name a place you might hide Christmas gifts.,"If Santa caught the flu, who would deliver the Christmas gifts?",Name a candy that is mostly available at Christmas time.,It’s officially Christmas season when…
10/29/2023 20:15:48,Build a fort,Saint nick,Funeral ,Christmas story,Blitzen,Seat cushion ,Socks,Girl scout cookies,Protein bars,Comet,Belt,Snowboard,Spouse,Day after Thanksgiving ,Jimgle bells,Hard rock,Candy,5 GOLDEN RINGS,Tape,Shave,Weird shaped ones,Opening presents ,Mug,Decorating ,Nurse,Hidee ho,Gingerbread ,4,Open presents ,Chinese restaurant ,Treats,Donkey,Elves,Krampus,Sleeps,Spouse,How many cookies he ate,Railings,Dishes,Shepherd ,Silver bells,Fruitcake,Night before Christmas ,Candy,Tour the toy factory ,Tail light out,Cookies,Milk,Wardrobe,Snow,Sleep,Hark the harold angles sing ,Halloween,Lights,Worry,Candy canes,Closet,Ms clause,Chocolate orange,Thanksgiving is over
10/29/2023 20:32:47,Make snowmen,Saint Nick,A Museum ,The Santa Cause,Dasher,Gloves,,Sugar Cookies,Carrots,Dancer,Hat,Snowman,Mom,November 2nd,Santa Claus is Coming to Town ,,Santa,Five golden rings ,Tape,Wear a different color suit ,Love,Telling stories ,,Decorating ,Retail,Happy holidays ,Peppermint ,3,Spend time with family ,Walmart ,,Manger,Snow ,The elves,Goes to bed,Mom,How many presents he delivered ,Cookies,Polar bears ,Mary,Slient Night,Cookies,Twas the night before Christmas ,Candy cane ,Get hot coco,Speeding,Cookies,Gluten ,Dating apps,The snow,Sleep ,Last Christmas ,Easter ,Star,Clean,Cinnamon ,Guest room,Mrs Clause,Candy canes,Its snows
10/29/2023 20:34:32,Skiing,St. Nick,The bathroom ,Christmas carol,Rudolph,A night off,Underwear,Sugar,Cake and ice cream,Rudolph,Hat,Snowman ,Mom,Black Friday ,All I want for Christmas is you,Rock and roll,Candy canes,5 golden rings,Tape,Shave his beard,Kitchenaid,Read Christmas story,A nap,Playing Christmas music,Doctor,Merry Christmas ,Cinnamon,What Christmas cards?,Visit family,Walmart,People,Mary,Elves,Cupid,Sleeps,Dad,That he delivers gifts to the whole world in one night,Tree,Snow,Baby Jesus,Joy to the world ,Figgy pudding,Night before Christmas ,Candy cane,Ride his sleigh,Speeding ,Milk,Milk,Dye his hair,Black Friday/crazy shoppers,Take down Christmas tree,All I want for Christmas is you,Valentines day,Ornaments,Knit,Marahmallows,Closet,Mrs. Claus,Chocolate orange,The tree is up 
10/29/2023 20:50:14,Shovel,St Nick,A corn maze,A Christmas carol,Vixen,A day off,Someone else’s,Auger cookie ,Egg nog,Dancer,Hat,Snowflake ,Friend,Nov 1st,Jingle bells,Classic rock,Elves,5 Gold rings,Scotched tape,Shave,Bicycle,Read Nativity ,Minced meat pie,Wrapping gifts,Military ,Felix Navidad,Cinnamon ,3,Watch everyone else unwrap presents ,7-11,Egg nog,Farm animals ,Elves,Jesus,Sleeps,Dad,How fast he drives,The yard,  The cold,Mary,Wish you a merry Christmas ,Pumpkin pie 🥧 ,The littliest angels,Candy cane,Tour the North Pole ,Going to slow,Milk,Oatmeal cookies ,Work Schedule ,No money,Take the tree down ,That Marah Carey song,Easter,Oranaments,Take a bubble bath ,Candy cane,At grandma’s house ,Mrs Claud,Carmel corn balls,You hear Christmas music
10/29/2023 21:35:36,"Nothing, Stay Inside",Saint Nick,The Bathroom,The Muppet Christmas Carol,Blitzen,Rest,Coal,Sugar Cookie,Pie,Rudolph,Hat,Snowblower,Spouse,Day After Thanksgiving,Jingle Bells,Trans-Siberian Orchestra ,Candy Cane,5 Golden Rings,Tape,Cover Himself in Coal Dust,Anything Not Square or Rectangular,Watch Movie,Clothes,Decorate the Tree,Nurse,Good Tidings,Pine,1,Watch people open the gifts I picked out for them,Soup Kitchen,Egg Nog,Jesus,Penguins,Easter Bunny,Sleeps ,The person who has everything,How Fast He Delivers Toys on Christmas Eve,Mantle,Elves,Donkey,Angels We Have Heard on High,Sugar Cookies,Twas the Night Before Christmas ,Candy Cane,Christmas Caroling,Destruction of Public Property (sleigh blades murder roads),Milk,Sugar ,His Glasses,Commercialism,Sleep,The 12 Days of Christmas,Halloween,Ornaments,Knit,Mini Marshmallows,Closet,Mrs. Claus,Candy Cane,It Snows
10/29/2023 22:46:06,Wonder,Father Christmas,Temple,My sanity fade,Dancer,Veggies,Underwear,Snicker doodle,Veggies,Rudolph,Belt,Snowman,Child,After thanksgiving ,Santa clause is coming to town,Pop,Snow,Ten drummers drumming,Paper,Dye his hair,Your own,Reading the birth of the savior,Happy family,Dreading,Police,Merry christmas,Pine ,Three ,Clean,Hospital,Good spirits,Holy family,Snow,Jack Frost ,Sleeps,Mom,Speed,Front room,Sweets,Joseph,Twelve days of Christmas,Cookies,Saviors birth,Blood cells,Wilderness walk,Missing head light,Santa,Reindeer,Nick name,Money,Breath,Christmas shoes,Halloween,Ornaments,Soak in the bath,Marshmallows ,Grandmas,Mrs. Claus ,Chocolate oranges,It is the next holiday
10/30/2023 5:11:52,Snow angels,Kris Kringle,A haunted house ,White Christmas ,Dancer,A break,A bill,Sugar cookies ,Candy canes ,Blitzen,Hat,Snowcap,Your Dad,After Thanksgiving ,Santa Claus is Coming to Town,Jingle Bells,Santa Claus,A partridge in a pear tree,Scissors ,Wear different clothes ,A pony,Reading the Christmas story ,No one fighting ,Buying presents ,Police officer ,Happy Holidays ,Pine tree,3,Spend time with family ,Chinese restaurants ,Good food ,Baby Jesus,Ice,Rudolph,Takes a nap,My mom,Present delivery speed,Tree,Elves,Joseph ,Silent Night ,Gingerbread ,A Christmas Carol,Wrapping paper ,Cookie tasting ,Trespassing into restricted airspace ,Carrots for reindeer ,Milk,His facial hair ,Bad weather,Work,All I want for Christmas is You,Thanksgiving ,Star,Have a girl's night ,Marshmallows ,In a closet ,Mrs. Claus ,Candy canes ,Thanksgiving is over
10/30/2023 7:10:24,Have a snowball fight,Kris Kringle,At church ,Scrooge,Rudolf ,Peace on earth,None,Snickerdoodle,Orange,Rudolf,Hat,Snowman,Our family,Day after thanksgiving,Dashing through the snow,Wrap music,Santa claus,Partridge in a pear tree,Tape,A change of clothes,Basketball,Reading the Christmas story,Peace on earth,Enjoying the Christmas season,Doctor,Merry Christmas,Pine trees,4,Enjoy the family,Hospital,Friendly people,Baby Jesus,Polar bears,Mrs claus,Takes a nap,Neighbors,His job,Tree,The cold,Jesus Christ,Silent Night,Egg nog,Story of birth of Christ,Santa Claus,Deliver gifts,No headlights,Cookies and milk,Chocolate,His photo,Shopping lines,Take down Christmas decorations,Any Elvis Christmas song,Easter,Tinsel,Resting,Marshmellows,Under the bed,His elves,Candy cane,Decorations are setup
10/30/2023 7:35:41,Have hot cocoa,Saint Nick,Sauna,Home Alone,Comet,Tropical vacation ,Underwear,Gingerbread,Broccoli ,Blitzen,Hat,Snowball,Kids,After Thanksgiving ,Santa Claus is coming to town ,Hard rock,Snowman,5 golden rings,Tape,Wear sunglasses,Cactus ,Jammies,Peace and quiet,Listening to Christmas music ,Doctor,Hohoho,Pine ,3,Open presents ,Dennys,Egg nog,Manger,Elves,Easter bunny,Sleeps,Significant other,Speed,House,Cold,Wisemen ,We wish you a merry Christmas ,Cookies,Night before Christmas ,Candy cane,Baking class,Speeding,Cookies ,Reindeer,Hair color,Snow ,Sleep,Simply having a wonderful Christmas time,Halloween ,Ornaments ,Binge Netflix ,Marshmallows,Under the stairs ,Mrs claus,Peppermint,Thanksgiving is over
10/30/2023 10:10:28,Ski,At Nick,Bar,Christmas Story,Rudolph,Rest,Socks,Sugar cookie,Chocolate,Prancer,Hat,Snow globe,Husband,Thanksgiving weekend,Jingle bells,Hymns,Stars,Frankenscense ,Tape,,Bike,Act out the Nativity scene,Clothes,Playing Christmas music,Doctor,Merry Christmas,Pies,3 weeks,Eat,Hospital,Santa,Wisemen,Elfs,Rudolph,Sleeps,Mom,His ability to fly,Tree,Cold,Mary,Away in a manger,Pie,Nativity,Newspaper,Nothing,Speeding,Cookies,Pine,Shave,Weather,Clean,Please say a don’t get drunk this Christmas,Easter,Ornaments,Watch movies,Marshmallows ,Basement,Elfs,Candy canes,It snows
